Miasto,Nazwa,Długość (km),Trudność,Typ terenu,Kategoria,Indeks komfortu,Wynik ważony,Szacowany czas
Gdańsk,Bazylika Konkatedralna Wniebowzięcia Najświętszej Maryi Panny,4.9,1/3,historical,RODZINNA,96.4/100,74.7/100,1h 13min
Gdańsk,Dom Wędkarza,4.9,1/3,mixed,RODZINNA,96.4/100,74.7/100,1h 13min
Gdańsk,Potok Rynarzewski,4.9,1/3,riverside,RODZINNA,96.4/100,74.7/100,1h 13min
Gdańsk,Schron dowodzenia baterii wydmowej 1911,4.9,1/3,mixed,RODZINNA,96.4/100,74.7/100,1h 13min
Gdańsk,Kanał Raduni,4.9,1/3,riverside,RODZINNA,96.4/100,74.7/100,1h 13min
Gdańsk,Potok Jaśkowy,4.9,1/3,riverside,RODZINNA,96.4/100,74.7/100,1h 13min
Gdańsk,Opływ Motławy,4.9,1/3,riverside,RODZINNA,96.4/100,74.7/100,1h 13min
Gdańsk,Bazylika Świętej Brygidy,4.8,1/3,historical,RODZINNA,96.4/100,74.4/100,1h 11min
Gdańsk,Ojcowska,4.8,1/3,mixed,RODZINNA,96.4/100,74.4/100,1h 11min
Gdańsk,Potok Jasień,4.8,1/3,riverside,RODZINNA,96.4/100,74.4/100,1h 11min
Gdańsk,Strzelniczka,4.8,1/3,riverside,RODZINNA,96.4/100,74.4/100,1h 11min
Gdańsk,Migowska Bielawa,4.8,1/3,mixed,RODZINNA,96.4/100,74.4/100,1h 11min
Gdańsk,Nowa Motława,4.8,1/3,riverside,RODZINNA,96.4/100,74.4/100,1h 11min
Gdańsk,Potok Jaśkowy,4.8,1/3,riverside,RODZINNA,96.4/100,74.4/100,1h 11min
Gdańsk,Potok Szadólski,4.8,1/3,riverside,RODZINNA,96.4/100,74.4/100,1h 11min
Gdańsk,Kanał Rudnicki,4.8,1/3,riverside,RODZINNA,96.4/100,74.4/100,1h 11min
Gdańsk,Dyrekcja Kolei w Gdańsku,4.8,1/3,mixed,RODZINNA,96.4/100,74.4/100,1h 11min
Gdańsk,Potok Oruński,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Cegielniana Struga,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Brama Żuławska,4.7,1/3,historical,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Warzywód II,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Potok Maćkowy,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Kanał Młynówka,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Rezerwat Źródliska w dolinie Ewy,4.7,1/3,mixed,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Stara Motława,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Warzywód,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,poligon treningowy dla psów ratowniczych,4.7,1/3,mixed,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Park Diany,4.7,1/3,mixed,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Potok Matarnicki,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Potok Czystej Wody,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Czarna Łacha,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Kanał Raduni,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Strzyża,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Potok Siedlecki,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Bastion Piaskowy,4.7,1/3,historical,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Martwa Wisła,4.7,1/3,riverside,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Pomnik Poległych Stoczniowców w Gdańsku,4.7,1/3,historical,RODZINNA,96.4/100,74.1/100,1h 10min
Gdańsk,Brama Żuraw,4.6,1/3,historical,RODZINNA,96.4/100,73.8/100,1h 8min
Gdańsk,Baszta Łabędź,4.6,1/3,historical,RODZINNA,96.4/100,73.8/100,1h 8min
Gdańsk,Nowa Motława,4.6,1/3,riverside,RODZINNA,96.4/100,73.8/100,1h 8min
Gdańsk,Potok Maćkowy,4.6,1/3,riverside,RODZINNA,96.4/100,73.8/100,1h 8min
Gdańsk,Potok Siedlicki,4.6,1/3,riverside,RODZINNA,96.4/100,73.8/100,1h 8min
Gdańsk,Potok Oliwski,4.6,1/3,riverside,RODZINNA,96.4/100,73.8/100,1h 8min
